Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,"Số điện thoại được nạp vượt hạn mức tham gia chương trình khuyến mãi
","Số điện thoại được nạp vượt hạn mức tham gia chương trình khuyến mãi (Thường thấy ở các chương trình flashsale)
","Vd 1 sdt chỉ được nhận khuyến mãi 1 lần, thường dành cho flashsale

Lưu ý:  nếu CS check TNC KH thỏa điều kiện thì vẫn chuyển SL để kiểm tra nguyên nhân chính xác cho KH nhé",Thông báo KH đã vượt quá hạn mức số lần/ số tiền được nhận khuyến mãi. Nhờ Kh tham gia chương trình ưu đãi khác,
,,Không thể áp dụng ưu đãi. Bạn hãy thử lại giao dịch mà không dùng khuyến mãi nhé,,"Zalopay đánh giá user có dấu hiệu gian lận khuyến mãi , tài khoản KH thuộc Blacklist/Greylist","1. Nếu voucher do Zalopay phát: 
Script phản hồi: 'Qua kiểm tra, tài khoản của bạn không thỏa điều kiện chương trình được ghi nhận tự động bởi hệ thống của Zalopay. Việc này dùng để tránh các trường hợp gian lận hoặc đầu cơ quà khuyến mãi, và giúp Zalopay có thể cung cấp nhiều chương trình hơn nữa phù hợp cho người dùng.

Với trường hợp này, Zalopay rất tiếc bạn không thể tham gia được chương trình ""................""

***Nếu KH không nằm trong Greylist/Blacklist hoặc CS đã tư vấn nhiều lần nhưng KH gay gắt không đồng ý hướng giải quyết trên, CS có thể ghi nhận chuyển case cho SL check risk thêm. Hẹn thời gian xử lý 3-5 ngày.

2. Nếu voucher do KH đổi xu: CS hỗ trợ theo quy trình FAQ (mục 2.2 KH  KHÔNG SỬ DỤNG ĐƯỢC VOUCHER ĐỔI TỪ CT: ""TÍCH XU ĐỔI QUÀ"")

3. Nếu tài khoản KH Normal: Hướng dẫn KH thực hiện thêm nhiều giao dịch bình thường không dùng khuyến mãi, Zalopay sẽ có những kỳ xem xét để KH có thể sử dụng lại khuyến mãi bình thường (không cần chuyển xem xét)
",
,,Bạn cần định danh tài khoản để tiếp tục giao dịch,,"CS gặp case kiểm tra tại tool ""User - Thông tin giao dịch"" mục ""Kết quả user"" thấy báo lỗi này là do: Risk đang chặn abuser (Abuser / fake KYC/ KYC hộ) nhưng để thông báo lỗi này để KH không biết họ đang bị chặn. ","CS hướng dẫn KH định danh TK (KYC) trước, sau đó thực hiện lại GD. 
Nếu KH đã KYC hoặc sau KYC thực hiện lại vẫn báo lỗi tương tự => Chuyển case SL tạo Jira cho Risk (TruongTN) đánh giá:
+ Nếu Risk kiểm tra không phải abuser => Add whitelist user sẽ thực hiện lại được
+ Nếu Risk kiểm tra user là abuser => Từ chối hỗ trợ, phản hồi theo script hướng dẫn thực hiện lại không sử dụng voucher.",Risk confirm CS không cần quan tâm status hiện tại của user (Normal/ Casual/ Malicious.v.v.)
-332, RMS_USER_NEED_KYC ,"- Các mess tương ứng:
""Bạn cần định danh tài khoản để tiếp tục giao dịch."" 
""Bạn cần định danh tài khoản để tiếp tục thanh toán với ưu đãi.""
""Bạn cần định danh tài khoản và liên kết thẻ để tiếp tục thanh toán với ưu đãi."" "," Giao dịch tạm thời bị giới hạn. Để tiếp tục giao dịch, vui lòng định danh tài khoản bằng thông tin cá nhân nhằm xác nhận quyền sở hữu tài khoản.","- Tùy theo điều kiện của chương trình có yêu cầu định danh hoặc định danh + liên kết.
","HXL: CS kiểm tra mess tại cột """"Kết quả User"""" trên tool TPE, thông tin TNC của CTKM đồng thời đối chiếu tình trạng tài khoản trên tool của User > Để hướng dẫn User thực hiện định danh hoặc liên kết bank sao cho thỏa rule.

*Lưu ý:
- Nếu tool hiển thị yêu cầu KH định danh hoặc định danh - LKNH nhưng theo rule của TNC hoàn toàn không có đề cập đến vấn đề này. CS cần ghi nhận kiểm tra thêm về rule TNC trước khi hướng dẫn cho User. Hẹn KH chờ 3-5 ngày LV
- Trường hợp khách hàng đã thỏa điều kiện nhưng thanh toán bị lỗi -332. Team ghi nhận: UID, TID liên quan chuyển SL check với dev/tech. Báo KH chờ 3-5 ngày LV.",
,,"""Bạn cần định danh tài khoản để tiếp tục giao dịch."" ",,KH không thể thao tác rút tiền từ số dư ví ZP về thẻ NHLK nhưng hệ thống bắt buộc KH định danh.,"HXL: CS kiểm tra xem KYC chưa? Nếu chưa thì hướng dẫn KH định danh để tiếp tục thực hiện giao dịch rút tiền.

*Lưu ý: 
- CS cần kiểm tra tool xem KH đã gửi yêu cầu KYC chưa? Nếu KH đã KYC thì xử lý yêu cầu của KH và báo kết quả. Nếu KH chưa gửi yêu cầu KYC, CS sẽ hướng dẫn KH KYC.
- Trường hợp KH không muốn KYC / giấy tờ đã KYC cho 2 TKZP trước đó, không thể KYC thêm cho TKZP đang bị báo lỗi: CS chuyển case SL để check với Risk (TruongTN) xem xét mở cho KH tự rút tiền. Hẹn chờ 1-3 ngày LV.",
-329, USER_CANCEL_TRANS ,, User huỷ giao dịch thanh toán.,,,
-327, NAPAS3_BANK_CARD_NOT_CONFIGED ,, Số thẻ bạn nhập khác với ngân hàng bạn đã chọn. Vui lòng kiểm tra lại hoặc liên hệ 1900 54 54 36 để được hỗ trợ.,,,
-326, NAPAS3_BANK_CARD_ALREADY_LINKED ,, Thẻ của bạn đã được liên kết trong tài khoản. Vui lòng kiểm tra lại hoặc liên hệ 1900 54 54 36 để được hỗ trợ.,,,
-325, NAPAS3_BANK_CARD_DIRECT ,, Số thẻ bạn nhập khác với ngân hàng bạn đã chọn. Vui lòng kiểm tra lại hoặc liên hệ 1900 54 54 36 để được hỗ trợ.,,,
-324, ZPBANK_AMOUNT_INVALID ,, Số tiền thanh toán bên ngân hàng không hợp lệ ,,,
